HUC12,Levee System ID,Inland Flood,Storm Surge
20700050605.0,2305070001.0,0.6,0.0
20700050704.0,1305000143.0,0.998,0.0
20700090606.0,1305000130.0,0.901,1.026
20700100103.0,2305300001.0,0.591,1.026
20700100103.0,2305300002.0,1.267,0.964
20700100201.0,2305020002.0,1.544,0.841
20700100201.0,1305000345.0,1.18,0.964
20700100201.0,2305020004.0,0.661,1.026
20700100203.0,2305020004.0,0.688,0.895
20700100203.0,2305020001.0,0.748,0.974
20700100204.0,2305300002.0,1.267,1.026
20700100204.0,2305020003.0,0.521,0.942
20700100204.0,2305020001.0,0.749,1.026
20700100204.0,2305300001.0,0.591,1.026
20700100301.0,2305150003.0,1.834,1.023
20700100301.0,2305150002.0,1.834,1.003
20700100301.0,2305150004.0,1.834,0.921
20700100301.0,2305300001.0,0.591,1.026
20700100301.0,2305150001.0,1.813,1.026
20700100301.0,2305140001.0,1.834,0.956
20801080201.0,4605000006.0,0.898,1.369
20802020501.0,4605000004.0,1.062,0.0
20802031104.0,4605000005.0,0.95,0.0
20802040404.0,1305000633.0,0.998,0.0
20802050607.0,4605000003.0,0.996,1.156
