HUC12,Inland Flood,Storm Surge
10200010403.0,1.39,0.0
10200010404.0,1.39,0.0
10200010501.0,1.435,0.0
10200010502.0,1.44,0.0
10200010503.0,1.44,0.0
10200010504.0,1.44,0.0
10200010505.0,1.44,0.0
10200010506.0,1.44,0.0
10200010507.0,1.422,0.0
10200010508.0,1.422,0.0
10200010509.0,1.44,0.0
10200010601.0,1.288,0.0
10200010602.0,1.29,0.0
10200010701.0,1.231,0.0
10200010702.0,1.231,0.0
10200010703.0,1.231,0.0
10200010704.0,1.369,0.0
10200010801.0,1.281,0.0
10200010802.0,1.367,0.0
10200010803.0,1.367,0.0
10200010804.0,1.367,0.0
10200010805.0,1.367,0.0
10200010901.0,1.291,0.0
10200010902.0,1.291,0.0
10200010903.0,1.291,0.0
10200010904.0,1.291,0.0
10200010905.0,1.369,0.0
10200010906.0,1.305,0.0
10200010907.0,1.305,0.0
10200011001.0,1.189,0.0
10200011002.0,1.318,0.0
10200011003.0,1.344,0.0
10200011004.0,1.344,0.0
10200011005.0,1.218,0.0
10200011006.0,1.03,0.0
10200011007.0,1.035,0.0
10200020101.0,1.297,0.0
10200020102.0,1.297,0.0
10200020103.0,1.297,0.0
10200020104.0,1.297,0.0
10200020105.0,1.297,0.0
10200020106.0,1.298,0.0
10200020107.0,1.302,0.0
10200020108.0,1.298,0.0
10200020201.0,1.296,0.0
10200020202.0,1.296,0.0
10200020203.0,1.296,0.0
10200020204.0,1.296,0.0
10200020205.0,1.296,0.0
10200020301.0,1.331,0.0
10200020302.0,1.314,0.0
10200020303.0,1.331,0.0
10200020304.0,1.331,0.0
10200020401.0,1.297,0.0
10200020402.0,1.291,0.0
10200020403.0,1.291,0.0
10200020404.0,1.291,0.0
10200020405.0,1.291,0.0
10200020406.0,1.291,0.0
10200020407.0,1.28,0.0
10200020408.0,1.357,0.0
10200020501.0,1.491,0.0
10200020502.0,1.491,0.0
10200020503.0,1.491,0.0
10200020504.0,1.453,0.0
10200020505.0,1.495,0.0
10200020506.0,1.491,0.0
10200020507.0,1.467,0.0
10200030101.0,1.235,0.0
10200030102.0,1.528,0.0
10200030103.0,1.242,0.0
10200030104.0,1.263,0.0
10200030105.0,1.224,0.0
10200030106.0,1.199,0.0
10200030107.0,1.269,0.0
10200030108.0,1.295,0.0
10200030109.0,1.465,0.0
10200030110.0,1.311,0.0
10200030111.0,1.227,0.0
10200030112.0,1.349,0.0
10200030113.0,1.238,0.0
10200030201.0,1.127,0.0
10200030202.0,1.112,0.0
10200030203.0,1.046,0.0
10200030204.0,1.303,0.0
10200030205.0,1.221,0.0
10200030301.0,1.178,0.0
10200030302.0,1.231,0.0
10200030303.0,1.289,0.0
10200030401.0,1.054,0.804
10200030402.0,1.338,0.804
10200030403.0,1.243,0.804
10200030404.0,1.312,0.804
10200030501.0,1.157,0.0
10200030502.0,1.172,0.0
10200030503.0,1.252,0.804
10200030504.0,1.214,0.0
10200030505.0,1.19,0.804
10200030506.0,1.162,0.0
10200030507.0,1.185,0.0
10200030508.0,1.19,0.804
10200030509.0,1.188,0.804
10200030510.0,1.194,0.0
10200030511.0,1.17,0.0
10200030601.0,1.293,0.0
10200030602.0,1.145,0.0
10200030603.0,1.369,0.0
10200030604.0,1.193,0.0
10200030605.0,1.191,0.0
10200030606.0,1.352,0.0
10200030607.0,1.131,0.0
10200030701.0,1.317,0.803
10200030702.0,1.98,0.804
10200030703.0,1.209,0.0
10200030704.0,1.575,0.0
10200040101.0,1.025,0.0
10200040102.0,0.973,0.0
10200040103.0,0.973,0.0
10200040104.0,0.985,0.0
